dem,ind,rep,ideo,female,edu,collegeabove,age,pk_medmarij,pkT_medmarij,pk_nafta,pkF_nafta,pk_parisagree,pkT_parisagree,pk_guantanamo,pkF_guantanamo,pk_deficit2018,pkF_deficit2018,pk_gdpgrow,pkT_gdpgrow
0,1,0,4,1,3,0,47,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1
0,1,0,7,0,6,1,51,1,2,1,2,1,1,1,2,0,-1,1,1
1,0,0,6,0,5,1,57,1,1,1,2,0,-1,1,2,1,1,1,1
0,0,1,4,0,5,1,53,1,1,0,-2,1,1,0,-2,0,-1,1,1
1,0,0,2,0,6,1,54,1,1,1,2,1,1,0,-1,1,2,0,-1
0,1,0,3,1,2,0,56,0,-2,NA,NA,NA,NA,0,-2,NA,NA,1,1
0,1,0,3,1,5,1,47,NA,NA,1,2,NA,NA,1,2,NA,NA,NA,NA
1,0,0,1,1,3,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,1,3,0,56,1,1,NA,NA,1,2,0,NA,0,-1,1,1
0,0,0,3,0,2,0,54,0,-1,1,1,1,1,1,1,0,-1,1,1
1,0,0,2,0,3,0,56,0,-1,0,-1,1,1,1,1,1,1,0,-1
1,0,0,0,1,3,0,54,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,1,5,1,48,1,1,NA,NA,0,-1,1,2,NA,NA,1,1
0,0,1,4,0,3,0,59,1,1,0,-1,0,-1,0,-1,0,-1,1,1
1,0,0,3,0,5,1,12,1,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA
1,0,0,1,1,6,1,48,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,3,1,5,1,47,1,1,1,1,0,-1,1,2,1,1,0,-2
1,0,0,4,0,5,1,53,1,1,1,1,1,1,0,-2,0,-1,1,1
0,1,0,1,0,6,1,47,1,1,0,-1,1,1,0,-1,0,-1,0,-1
1,0,0,4,1,6,1,55,1,2,1,2,0,-2,1,2,0,-2,1,2
0,1,0,2,0,6,1,20,0,-1,1,2,0,-1,1,2,1,1,NA,NA
0,0,1,6,0,5,1,49,0,-2,1,1,0,-1,1,1,1,1,0,-1
1,0,0,1,1,5,1,49,1,1,0,-1,1,1,0,-1,1,1,1,1
0,0,1,6,0,5,1,19,1,1,1,1,1,1,1,1,NA,NA,NA,NA
1,0,0,1,1,4,0,35,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
0,0,1,5,1,3,0,39,1,1,0,-2,0,-1,0,-2,1,1,1,1
0,1,0,3,1,5,1,43,1,1,NA,NA,0,-1,NA,NA,0,-1,0,-1
1,0,0,1,0,6,1,54,0,-2,1,1,1,2,0,-1,0,-1,1,1
1,0,0,4,1,3,0,59,1,1,NA,NA,1,1,0,NA,NA,NA,0,-1
1,0,0,4,0,5,1,51,1,2,1,1,1,2,1,2,0,-1,1,2
0,0,1,6,0,5,1,49,1,1,0,-1,1,1,0,-2,0,-1,1,1
0,1,0,4,0,6,1,51,1,2,0,-2,1,2,0,-2,0,-2,1,2
1,0,0,0,1,5,1,48,1,1,1,1,1,2,1,1,0,-1,1,1
0,1,0,4,0,3,0,52,1,1,1,1,0,-1,1,1,0,-1,1,1
1,0,0,NA,0,3,0,46,0,-1,1,2,1,2,1,2,0,-2,1,1
1,0,0,2,1,5,1,45,1,1,NA,NA,NA,NA,1,1,NA,NA,1,1
1,0,0,1,0,5,1,49,0,-1,1,2,1,2,1,1,0,-1,1,1
1,0,0,1,0,3,0,57,1,1,1,2,0,-2,1,2,1,1,1,1
0,1,0,3,0,6,1,49,1,1,NA,NA,NA,NA,1,1,1,1,0,-1
1,0,0,1,1,5,1,26,1,1,NA,NA,0,-1,0,-1,0,-1,NA,NA
0,0,1,5,1,6,1,38,1,1,1,1,0,-1,1,1,0,-1,1,1
1,0,0,3,0,6,1,21,1,1,1,1,0,-1,1,1,1,1,1,1
0,1,0,0,1,5,1,57,0,-1,NA,NA,1,2,NA,NA,0,-1,0,-2
0,1,0,3,0,3,0,50,0,-2,1,2,0,-2,1,2,NA,NA,1,1
0,0,1,1,0,5,1,52,1,1,0,-1,0,-1,0,-2,0,-1,0,-1
0,0,1,6,1,6,1,44,0,-1,1,1,0,-1,0,-2,0,-1,1,1
0,1,0,2,0,5,1,50,1,1,NA,NA,1,2,0,-2,NA,NA,1,2
1,0,0,1,1,6,1,26,0,-2,0,-2,0,-1,1,2,1,2,1,1
0,0,0,3,0,3,0,44,0,-1,1,1,0,-1,NA,NA,0,-1,0,-1
0,1,0,6,0,3,0,47,1,2,1,1,0,-1,0,-2,0,-1,1,2
1,0,0,1,1,4,0,51,1,1,1,2,1,2,NA,NA,0,-1,0,-2
1,0,0,3,1,5,1,26,1,1,1,2,1,1,1,2,NA,NA,1,1
1,0,0,2,0,5,1,39,1,1,1,1,0,-2,1,2,1,1,1,1
0,1,0,4,1,5,1,47,1,1,NA,NA,1,1,0,-2,0,-1,0,-2
0,1,0,3,1,4,0,46,1,1,1,1,1,1,1,2,0,-1,1,1
0,0,1,2,0,2,0,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,1,6,0,5,1,12,1,1,NA,NA,1,1,0,-1,1,2,1,1
0,1,0,4,0,5,1,38,1,1,1,2,1,2,0,-2,1,2,0,-1
0,0,1,6,0,5,1,11,0,-2,0,-2,0,-2,1,2,0,-1,1,2
1,0,0,1,1,6,1,34,0,-2,0,-1,1,1,0,-1,1,1,0,-1
0,1,0,4,0,5,1,40,1,2,1,1,0,-2,1,2,1,1,1,1
0,1,0,1,0,3,0,11,1,1,1,1,1,1,1,2,0,-1,0,-1
0,0,1,7,1,5,1,44,0,-2,0,-1,0,-2,1,2,0,-1,0,-2
0,1,0,4,0,5,1,55,0,-1,NA,NA,0,-1,NA,NA,NA,NA,1,1
0,1,0,4,1,6,1,12,0,-1,0,-1,1,1,0,-2,NA,NA,NA,NA
1,0,0,6,1,5,1,54,1,2,NA,NA,0,-1,0,-1,0,-1,0,-1
0,0,1,6,1,5,1,50,1,1,NA,NA,0,-2,0,-1,NA,NA,0,-1
0,0,0,3,1,2,0,46,0,-1,NA,NA,NA,NA,1,1,NA,NA,NA,NA
0,1,0,4,0,5,1,49,0,-1,0,-1,1,2,NA,NA,1,2,1,2
1,0,0,0,1,5,1,44,0,-1,1,1,1,2,1,1,0,-2,0,-1
0,1,0,4,0,3,0,47,1,1,0,-1,NA,NA,1,2,NA,NA,1,1
0,0,1,5,0,5,1,55,1,2,0,-1,0,-1,1,1,0,-1,0,-1
1,0,0,0,0,6,1,47,1,1,NA,NA,1,1,1,2,NA,NA,1,1
1,0,0,0,1,6,1,41,0,-2,1,1,1,1,0,-1,0,-1,1,1
0,0,1,4,0,3,0,19,1,1,1,1,NA,NA,0,-1,0,-1,1,2
1,0,0,0,1,5,1,44,0,-1,1,1,1,1,1,1,NA,NA,NA,NA
1,0,0,1,1,5,1,52,NA,NA,NA,NA,1,1,0,-2,0,-1,NA,NA
0,0,1,6,0,8,1,54,1,2,1,1,0,-1,1,1,1,1,0,-1
0,1,0,4,1,5,1,44,1,2,1,2,1,2,0,-2,0,-1,1,1
0,0,1,6,0,7,1,52,1,2,1,2,0,-2,1,2,0,-2,1,2
0,0,1,7,1,6,1,49,1,1,0,-1,1,2,0,-2,0,-2,1,1
0,1,0,3,0,5,1,43,1,1,NA,NA,1,1,1,1,1,2,1,1
1,0,0,4,1,4,0,41,0,-2,1,1,1,1,1,2,0,-1,0,-1
0,0,1,7,1,3,0,25,NA,NA,NA,NA,0,-1,0,-1,0,-1,1,1
1,0,0,1,1,3,0,37,1,1,0,-1,1,1,0,-2,0,-1,NA,NA
0,0,1,7,0,3,0,13,1,1,NA,NA,1,1,0,-1,NA,NA,1,1
1,0,0,5,0,3,0,62,1,1,0,-1,1,1,0,-1,1,1,1,1
0,0,1,7,0,5,1,47,1,1,NA,NA,NA,NA,0,NA,NA,NA,1,1
0,1,0,1,0,5,1,47,1,1,1,1,1,1,1,2,NA,NA,1,1
0,1,0,3,1,3,0,56,0,-1,0,-1,NA,NA,0,-1,NA,NA,1,1
0,0,1,4,0,5,1,47,1,1,1,1,1,1,0,-2,NA,NA,1,1
1,0,0,2,1,5,1,58,0,-2,1,1,1,2,1,1,0,-1,1,2
1,0,0,0,1,3,0,25,NA,NA,1,2,1,2,1,2,0,-1,NA,NA
0,0,1,6,0,5,1,46,0,-1,0,-1,1,1,1,1,0,-1,1,2
0,0,1,2,1,2,0,20,0,-1,0,-1,0,-1,0,-1,0,-1,1,1
1,0,0,0,0,2,0,55,1,2,1,1,1,1,1,2,0,-2,1,1
0,0,1,5,1,2,0,27,NA,NA,NA,NA,NA,NA,0,-2,NA,NA,NA,NA
0,1,0,4,0,5,1,28,NA,NA,1,2,NA,NA,1,2,NA,NA,1,1
0,0,1,4,0,3,0,10,1,1,0,-2,1,1,0,-2,1,2,1,1
0,0,1,7,1,2,0,10,0,-1,0,-1,NA,NA,0,-1,0,-1,1,1
1,0,0,2,1,5,1,48,0,-2,0,-1,1,2,1,1,1,1,1,1
0,0,0,3,1,3,0,39,1,1,0,-1,0,-1,0,-2,1,2,1,1
0,1,0,5,1,3,0,44,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1
0,1,0,5,1,3,0,41,1,2,0,-1,1,1,0,-1,0,-1,0,-1
0,1,0,4,0,6,1,48,1,1,1,2,1,1,1,2,1,2,1,1
1,0,0,3,1,5,1,36,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,0,3,0,3,0,52,1,1,1,1,1,1,1,2,0,-1,1,1
0,1,0,0,0,4,0,23,0,-2,NA,NA,0,-1,0,-2,1,1,0,-2
0,1,0,3,1,5,1,53,0,-2,1,2,1,1,0,-1,1,2,1,1
0,0,1,2,0,5,1,58,1,1,0,-1,0,-1,1,1,1,1,NA,NA
0,0,1,6,1,5,1,53,0,-2,0,-1,0,-1,1,2,1,1,1,2
1,0,0,5,0,2,0,62,0,-1,1,1,1,1,0,-2,0,-1,1,1
0,0,1,6,0,3,0,57,1,1,0,-1,1,1,NA,NA,1,2,1,1
0,1,0,3,0,5,1,59,0,-2,1,2,0,-2,1,1,0,-2,0,-1
0,1,0,3,0,5,1,28,0,-1,1,2,1,1,1,2,1,1,1,1
0,1,0,3,1,5,1,29,0,-2,NA,NA,0,-2,NA,NA,NA,NA,0,-2
1,0,0,0,1,7,1,24,1,2,1,2,1,2,1,2,1,2,0,-1
0,1,0,4,0,5,1,6,1,1,NA,NA,1,1,0,-2,1,1,0,-1
1,0,0,4,1,5,1,51,1,1,NA,NA,NA,NA,NA,NA,0,-1,NA,NA
1,0,0,2,0,7,1,25,0,-1,1,1,1,1,1,1,0,-1,1,1
1,0,0,0,1,3,0,49,1,1,0,-2,1,2,1,2,0,-1,NA,NA
0,1,0,3,0,5,1,46,1,1,1,2,1,1,1,2,0,-1,1,1
0,1,0,3,0,5,1,45,1,1,1,2,1,1,1,1,1,1,0,-1
1,0,0,3,1,6,1,28,1,2,1,2,0,-2,1,2,0,-2,0,-1
0,0,1,6,1,5,1,47,1,1,1,1,NA,NA,NA,NA,0,-1,NA,NA
1,0,0,2,0,6,1,47,0,-1,1,2,0,-2,1,2,NA,NA,1,1
0,1,0,4,0,4,0,39,1,1,0,-1,1,1,1,1,0,-1,1,1
0,0,1,3,1,5,1,47,0,-1,1,1,0,-2,1,2,1,2,NA,NA
1,0,0,0,1,6,1,43,0,-1,1,2,0,-1,1,2,NA,NA,1,1
1,0,0,2,0,5,1,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,2,0,5,1,58,0,-2,0,-1,0,-1,0,-2,0,-1,1,1
1,0,0,0,0,5,1,55,1,1,0,-1,1,1,1,1,0,-1,1,2
0,0,1,6,0,5,1,51,0,-2,1,2,0,-2,1,2,1,1,1,2
0,1,0,4,0,6,1,50,1,1,NA,NA,1,1,1,1,0,-1,1,1
0,1,0,3,0,4,0,42,1,1,1,2,1,1,0,-2,0,-1,1,1
0,0,1,5,1,3,0,24,1,1,1,1,0,-1,1,1,0,-2,1,1
1,0,0,0,1,5,1,56,1,2,NA,NA,0,-1,NA,NA,NA,NA,1,1
1,0,0,1,0,3,0,55,1,1,1,2,1,1,0,-1,0,-1,0,-2
0,1,0,6,1,8,1,51,0,-2,NA,NA,NA,NA,0,-2,0,-1,0,-2
1,0,0,1,0,5,1,47,0,-1,1,1,0,-1,0,-2,0,-1,1,1
0,0,0,4,0,4,0,38,1,1,0,-1,NA,NA,0,-1,NA,NA,1,2
0,1,0,3,1,2,0,43,1,1,1,1,0,-2,0,-2,0,-1,1,1
0,0,1,6,1,3,0,54,1,2,NA,NA,1,1,0,-1,NA,NA,NA,NA
1,0,0,0,0,5,1,55,1,1,0,-2,NA,NA,NA,NA,NA,NA,1,2
1,0,0,3,1,5,1,43,NA,NA,NA,NA,0,-2,1,2,0,-1,1,1
1,0,0,1,0,8,1,25,1,2,1,2,0,-2,1,2,0,-1,1,2
0,1,0,3,0,5,1,43,0,-1,1,2,0,-2,1,2,0,-1,1,1
0,0,1,5,0,5,1,32,0,-2,0,-1,NA,NA,1,2,NA,NA,NA,NA
0,0,1,5,0,5,1,26,1,1,1,2,1,1,1,2,1,1,1,1
0,0,1,7,1,5,1,11,NA,NA,NA,NA,1,1,0,-2,NA,NA,1,1
1,0,0,3,0,5,1,49,0,-1,0,-1,1,1,0,-1,0,-1,1,1
0,0,1,5,0,3,0,45,0,-2,NA,NA,0,-1,0,-2,1,2,1,1
0,1,0,2,1,3,0,52,1,1,NA,NA,1,1,0,NA,0,-1,NA,NA
0,0,1,1,0,3,0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,1,1,3,0,46,0,-1,0,-1,1,2,1,1,0,-1,NA,NA
1,0,0,2,1,6,1,41,0,-1,0,-1,1,1,NA,NA,NA,NA,1,1
1,0,0,3,1,3,0,46,1,1,1,1,1,1,0,-1,0,-1,1,1
1,0,0,3,1,6,1,39,0,-1,0,-1,1,1,0,-2,0,-1,1,1
0,0,1,3,0,6,1,47,1,1,1,1,0,-1,1,2,0,-1,0,-1
1,0,0,1,0,5,1,54,0,-1,1,2,0,-1,1,2,1,1,1,2
1,0,0,0,1,3,0,61,0,-1,NA,NA,1,1,1,1,NA,NA,NA,NA
1,0,0,1,0,3,0,38,1,1,0,-2,0,-1,0,-2,NA,NA,1,1
0,1,0,3,0,5,1,11,0,-2,1,2,1,1,1,2,0,-1,NA,NA
1,0,0,0,1,3,0,42,NA,NA,NA,NA,NA,NA,0,-1,NA,NA,NA,NA
0,1,0,4,0,6,1,29,0,-1,1,1,1,1,1,2,0,-1,1,2
1,0,0,1,1,4,0,50,0,-2,0,-1,0,-1,0,-1,NA,NA,NA,NA
0,1,0,7,0,3,0,50,1,1,1,2,0,-2,1,2,NA,NA,1,2
0,1,0,3,1,4,0,37,1,1,0,-1,0,-2,0,-1,1,1,1,1
0,0,1,6,0,5,1,50,1,2,0,-1,NA,NA,0,-1,0,-1,1,2
0,0,1,6,1,3,0,35,0,-1,NA,NA,NA,NA,0,-1,NA,NA,1,1
0,1,0,2,1,5,1,32,1,1,1,1,1,1,1,1,1,1,0,-1
1,0,0,3,0,5,1,53,1,1,0,-1,0,-2,1,2,1,1,1,1
1,0,0,1,1,2,0,59,1,1,NA,NA,1,2,0,-2,1,1,1,1
0,1,0,2,1,4,0,27,0,-2,1,2,1,1,0,-1,0,-1,1,1
1,0,0,1,1,6,1,35,1,1,1,1,1,1,0,-2,1,2,1,1
0,1,0,4,1,4,0,51,1,1,0,-2,1,2,0,-2,0,-1,1,1
1,0,0,1,1,8,1,50,1,1,1,1,1,2,1,1,0,-1,0,-1
0,1,0,4,1,4,0,48,0,-2,1,2,0,-2,0,-2,0,-1,1,2
1,0,0,5,1,5,1,46,0,-2,0,-1,NA,NA,NA,NA,NA,NA,1,1
0,0,1,6,1,6,1,32,1,1,0,-1,1,1,1,2,0,-1,1,1
1,0,0,5,1,5,1,51,0,-1,1,1,1,1,1,1,1,1,1,1
0,1,0,3,1,4,0,32,1,1,1,1,1,2,0,-1,0,-1,1,1
